"Species code","Species name","Province","Zone","Year","Estimate","± 1 standard error"
"1290","Common Merganser","Quebec","1","2001","2037","470"
"1290","Common Merganser","Quebec","2","2001","789","449"
"1290","Common Merganser","New Brunswick","1","2002","52","55"
"1290","Common Merganser","New Brunswick","2","2002","338","204"
"1290","Common Merganser","Newfoundland and Labrador","1","2002","2062","563"
"1290","Common Merganser","Newfoundland and Labrador","2","2002","173","204"
"1290","Common Merganser","Nova Scotia","1","2002","317","186"
"1290","Common Merganser","Nova Scotia","2","2002","353","202"
"1290","Common Merganser","Ontario","1","2002","247","173"
"1290","Common Merganser","Ontario","2","2002","527","222"
"1290","Common Merganser","Ontario","3","2002","168","108"
"1290","Common Merganser","Prince Edward Island","1","2002","487","328"
"1290","Common Merganser","Quebec","1","2002","2031","579"
"1290","Common Merganser","Quebec","2","2002","141","146"
"1290","Common Merganser","Alberta","1","2003","103","186"
"1290","Common Merganser","New Brunswick","2","2003","291","326"
"1290","Common Merganser","Newfoundland and Labrador","1","2003","1543","657"
"1290","Common Merganser","Newfoundland and Labrador","2","2003","844","716"
"1290","Common Merganser","Nova Scotia","1","2003","810","361"
"1290","Common Merganser","Nova Scotia","2","2003","402","146"
"1290","Common Merganser","Ontario","1","2003","142","0"
"1290","Common Merganser","Ontario","2","2003","531","356"
"1290","Common Merganser","Ontario","3","2003","255","113"
"1290","Common Merganser","Quebec","1","2003","1357","388"
"1290","Common Merganser","Quebec","2","2003","886","342"
"1290","Common Merganser","British Columbia","2","2004","59","62"
"1290","Common Merganser","New Brunswick","2","2004","187","148"
"1290","Common Merganser","Newfoundland and Labrador","1","2004","3698","953"
"1290","Common Merganser","Newfoundland and Labrador","2","2004","1296","1207"
"1290","Common Merganser","Nova Scotia","1","2004","548","308"
"1290","Common Merganser","Nova Scotia","2","2004","403","213"
"1290","Common Merganser","Ontario","1","2004","273","84"
"1290","Common Merganser","Ontario","2","2004","313","184"
"1290","Common Merganser","Prince Edward Island","1","2004","124","106"
"1290","Common Merganser","Quebec","1","2004","1605","582"
"1290","Common Merganser","Quebec","2","2004","210","131"
"1290","Common Merganser","British Columbia","1","2005","43","45"
"1290","Common Merganser","British Columbia","2","2005","78","78"
"1290","Common Merganser","New Brunswick","2","2005","29","20"
"1290","Common Merganser","Newfoundland and Labrador","1","2005","3436","1106"
"1290","Common Merganser","Nova Scotia","1","2005","525","284"
"1290","Common Merganser","Nova Scotia","2","2005","86","60"
"1290","Common Merganser","Ontario","1","2005","146","127"
"1290","Common Merganser","Ontario","2","2005","464","215"
"1290","Common Merganser","Prince Edward Island","1","2005","64","31"
"1290","Common Merganser","Quebec","1","2005","195","187"
"1290","Common Merganser","Quebec","2","2005","498","222"
