"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1986","2119","238"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1986","890","154"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1986","2148","261"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1986","27","20"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1987","1343","139"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1987","2105","226"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1987","668","149"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1987","881","121"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1987","2356","264"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1987","751","139"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1987","1159","197"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1987","761","168"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1987","3552","293"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1987","418","95"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1987","1878","175"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1987","600","115"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1987","54","34"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1987","6324","462"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1987","12555","619"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1987","2765","280"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1987","418","118"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1987","10190","539"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1987","2360","249"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1987","1227","182"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1987","931","158"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1987","1895","238"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1987","22","18"
